Channel,CoverageArea,Decision,Frequency,FrequencyUnit,Holder,Location,Programms,ValidTo
,,38111-39/2012/9,98.3,MHz,"RADIO BELVI, d.o.o.",ŠMARJETNA GORA,"[{u'Program': u'Radio Antena Gorenjska; Antena G', u'Timesharing': u'od 02:00 do 10:00'}, {u'Program': u'Radio Antena', u'Timesharing': u'od 00:00 do 02:00 in od 10:00 do 24:00'}]",2021-06-21
,,38111-40/2011/2,107.8,MHz,"NAŠ ČAS, d.o.o.",PLEŠIVEC,"[{u'Program': u'RADIO VELENJE', u'Timesharing': u'od 00:00 do 10:00 in od 14:00 do 19:00'}]",2018-01-17
,,38111-41/2012/3,91.6,MHz,"ŠPRAH d.o.o., Škofja vas",VELENJE 2,"[{u'Program': u'Radio Antena Velenje; Antena V', u'Timesharing': u'od 02:00 do 10:00'}, {u'Program': u'Radio Antena', u'Timesharing': u'od 00:00 do 02:00 in od 10:00 do 24:00'}]",2019-11-12
,,38111-42/2011/2,95.7,MHz,RADIO OGNJIŠČE d.o.o. Koper,RAVNE 2,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2021-06-21
,,38111-42/2012/3,94.4,MHz,"ŠPRAH d.o.o., Škofja vas",MARIBOR 6,"[{u'Program': u'Radio Antena Maribor; Antena M', u'Timesharing': u'od 02:00 do 10:00'}, {u'Program': u'Radio Antena', u'Timesharing': u'od 00:00 do 02:00 in od 10:00 do 24:00'}]",2019-11-18
,,38111-43/2012/3,103,MHz,STUDIO D d.o.o.,TRDINOV VRH,"[{u'Program': u'Radio Aktual Studio D', u'Timesharing': None}]",2019-10-16
,,38111-45/2011/2,103.5,MHz,"RADIO TRIGLAV JESENICE, D.O.O.",MEŽAKLA,"[{u'Program': u'RADIO TRIGLAV', u'Timesharing': None}]",2021-07-24
,,38111-45/2011/2,96,MHz,"RADIO TRIGLAV JESENICE, D.O.O.",RAVNI-VALVAZOR,"[{u'Program': u'RADIO TRIGLAV', u'Timesharing': None}]",2021-07-24
,,38111-46/2011/2,97.2,MHz,KOROŠKI RADIO d.o.o. Slovenj Gradec,PLEŠIVEC,"[{u'Program': u'Koro\u0161ki radio', u'Timesharing': None}]",2021-06-12
,,38111-51/2011/2,549,kHz,RTV SLOVENIJA,BELI KRIŽ,"[{u'Program': u'RADIO KOPER /RADIO KP/', u'Timesharing': u'ob delovnikih in sobotah od 06:00 do 23:00, ob nedeljah in praznikih od 07:15 do 23:00'}, {u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': u'ob delovnikih in sobotah od 23:00 do 06:00, ob nedeljah in praznikih od 23:00 do 07:15'}]",2021-06-12
,,38111-51/2011/4,1170,kHz,RTV SLOVENIJA,BELI KRIŽ,"[{u'Program': u'RADIO CAPODISTRIA', u'Timesharing': None}]",2021-06-12
,,38111-51/2012/3,106.2,MHz,RADIO PRO 1 d.o.o.,GORA OLJKA,"[{u'Program': u'RADIO GOLDI - SAVINJSKI VAL', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2016-07-06
,,38111-51/2012/5,88.3,MHz,RADIO PRO 1 d.o.o.,MOZIRJE,"[{u'Program': u'RADIO GOLDI - SAVINJSKI VAL', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2017-06-18
,,38111-51/2012/7,99.1,MHz,RADIO PRO 1 d.o.o.,VELENJE 2,"[{u'Program': u'RADIO GOLDI - SAVINJSKI VAL', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2017-06-18
,,38111-52/2011/2,102.5,MHz,RADIO PRO 1 d.o.o.,VELENJE 2,"[{u'Program': u'Radio 1 \u0160tajerska; ENA MB', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2021-06-21
,,38111-54/2011/2,107.9,MHz,RADIO PRO 1 d.o.o.,MARIBOR 6,"[{u'Program': u'Radio 1 \u0160tajerska; ENA MB', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2019-11-17
,,38111-54/2011/4,97.4,MHz,RADIO PRO 1 d.o.o.,LJUBIČNA 2,"[{u'Program': u'Radio 1 \u0160tajerska; ENA MB', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2019-10-09
,,38111-60/2010/8,95.8,MHz,RTV SLOVENIJA,KOČEVJE,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2021-04-04
,,38111-60/2011/2,102.4,MHz,Aktual obala d.o.o.,HRVATINI 3,"[{u'Program': u'Radio Aktual Obala', u'Timesharing': None}]",2017-11-14
12B,,38111-61/2011/3,,,RTV SLOVENIJA,KRVAVEC,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}, {u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}, {u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}, {u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2012-11-11
,,38111-62/2011/2,97.7,MHz,RTV SLOVENIJA,BELI KRIŽ,"[{u'Program': u'RADIO CAPODISTRIA', u'Timesharing': None}]",2021-11-09
,,38111-69/2011/2,92.6,MHz,Aktual obala d.o.o.,LUCIJA 3,"[{u'Program': u'Radio Aktual Obala', u'Timesharing': None}]",2016-11-20
,,38111-69/2011/2,98.4,MHz,Aktual obala d.o.o.,PIRAN 1,"[{u'Program': u'Radio Aktual Obala', u'Timesharing': None}]",2016-11-20
,,38111-69/2011/2,102.8,MHz,Aktual obala d.o.o.,ŠENTJANE,"[{u'Program': u'Radio Aktual Obala', u'Timesharing': None}]",2016-11-20
,,38111-69/2011/2,98.4,MHz,Aktual obala d.o.o.,IZOLA 5,"[{u'Program': u'Radio Aktual Obala', u'Timesharing': None}]",2016-11-20
,,38111-7/2012/9,94.6,MHz,"RADIO MURSKI VAL, d.o.o.",PEČAROVCI,"[{u'Program': u'RADIO MURSKI VAL', u'Timesharing': None}]",2013-05-09
,,38111-70/2011/6,91.7,MHz,RADIO CAPRIS d.o.o.,MARKOVEC,"[{u'Program': u'RADIO CAPRIS', u'Timesharing': None}]",2013-11-26
,,38111-70/2011/6,95.6,MHz,RADIO CAPRIS d.o.o.,HRVATINI 3,"[{u'Program': u'RADIO CAPRIS', u'Timesharing': None}]",2013-11-26
,,38111-70/2011/6,107.9,MHz,RADIO CAPRIS d.o.o.,KOPER 4,"[{u'Program': u'RADIO CAPRIS', u'Timesharing': None}]",2013-11-26
,,38111-73/2011/6,105,MHz,"RC SAVINJSKA, d.o.o.",PAKA,"[{u'Program': u'RADIO CENTER SAVINJSKA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2018-03-13
