Channel,CoverageArea,Decision,Frequency,FrequencyUnit,Holder,Location,Programms,ValidTo
29,Litija,38112-80/2012/3,,,"ATV BABNIK & CO d.n.o., Litija",JEVNICA 1,,2022-08-06
29,Litija,38112-80/2012/4,,,"ATV BABNIK & CO d.n.o., Litija",LITIJA,,2022-08-06
35,med Ilirsko Bistrico in Sežano,38112-81/2012/3,,,Zavod TV Galeja Ilirska Bistrica,KARLOVICA,,2022-08-06
32,Center,38112-86/2012/3,,,RTV SLOVENIJA,ŽIRI 2,,2017-07-09
,,650817,105.7,MHz,RTV SLOVENIJA,NANOS,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2013-03-04
,,650922,96.3,MHz,"RADIO SORA, d.o.o.",SELCA 2,"[{u'Program': u'RADIO SORA', u'Timesharing': None}]",2013-04-08
,,650957,96,MHz,RTV SLOVENIJA,FARA,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2013-03-20
,,650958,96.3,MHz,RTV SLOVENIJA,KOŠANA,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2013-03-20
,,650959,94.7,MHz,RTV SLOVENIJA,KRANJSKA GORA,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2013-03-20
,,650960,96.3,MHz,RTV SLOVENIJA,ORTNEK,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2013-07-30
,,650961,90.9,MHz,RTV SLOVENIJA,OSILNICA 2,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2013-03-20
,,651756,89.3,MHz,RTV SLOVENIJA,TINJAN,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2013-09-17
,,651758,98.1,MHz,RTV SLOVENIJA,TINJAN,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2013-09-17
,,651759,107.6,MHz,RTV SLOVENIJA,TINJAN,"[{u'Program': u'RADIO KOPER /RADIO KP/', u'Timesharing': None}]",2013-09-17
,,651879,95.7,MHz,RTV SLOVENIJA,BREGINJ,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2013-12-07
,,651880,97.6,MHz,RTV SLOVENIJA,BREGINJ,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2013-12-07
,,651881,88.6,MHz,RTV SLOVENIJA,STARI TRG,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2013-12-07
,,651882,94,MHz,RTV SLOVENIJA,STARI TRG,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2013-12-07
,,652098,89,MHz,RTV SLOVENIJA,ČRNOMELJ,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2014-01-25
,,652101,89.1,MHz,RTV SLOVENIJA,TRENTA 1,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2014-01-25
,,652102,92.2,MHz,RTV SLOVENIJA,TRENTA 1,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2014-01-25
,,652103,94.7,MHz,RTV SLOVENIJA,TRENTA 1,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2014-01-25
,,652180,95.9,MHz,NT&RC d.o.o. Celje,MALIČ LAŠKO,"[{u'Program': u'RADIO CELJE', u'Timesharing': None}]",2014-03-11
,,652181,95.1,MHz,NT&RC d.o.o. Celje,BOČ,"[{u'Program': u'RADIO CELJE', u'Timesharing': None}]",2014-02-10
,,652194,89.3,MHz,Zavod RŠ,LJUBLJANA 3,"[{u'Program': u'RADIO \u0160TUDENT', u'Timesharing': None}]",2014-03-04
,,652195,97.3,MHz,"RADIO KRANJ, d.o.o.",ŠMARJETNA GORA,"[{u'Program': u'RADIO KRANJ - GORENJSKI MEGASR\u010cEK', u'Timesharing': None}]",2014-03-11
,,652267,918,kHz,RTV SLOVENIJA,DOMŽALE,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2014-03-29
,,652803,94.6,MHz,SRAKA INTERNATIONAL d.o.o.,TRDINOV VRH,"[{u'Program': u'RADIO SRAKA', u'Timesharing': None}]",2014-05-17
,,653229,101.3,MHz,RTV SLOVENIJA,TOLMIN,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2015-03-18
,,653230,102.1,MHz,RTV SLOVENIJA,KANIN,"[{u'Program': u'RADIO KOPER /RADIO KP/', u'Timesharing': None}]",2015-03-18
,,653333,90,MHz,RTV SLOVENIJA,IDRIJA 2,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2015-05-04
,,653531,92.8,MHz,RADIO OGNJIŠČE d.o.o. Koper,ČRNOMELJ,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2015-07-11
,,653532,90.2,MHz,R DOMŽALE d.o.o.,VRHNIKA 2,"[{u'Program': u'RADIO HIT', u'Timesharing': None}]",2015-07-11
,,653824,89.5,MHz,RTV SLOVENIJA,AJDOVŠČINA,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2015-11-07
,,653857,98.7,MHz,RECAL d.o.o.,MAJŠPERK,"[{u'Program': u'Radio RADIO', u'Timesharing': None}]",2015-08-01
,,653987,104.3,MHz,RADIO TEDNIK Ptuj d.o.o.,PTUJ 2,"[{u'Program': u'RADIO PTUJ', u'Timesharing': None}]",2013-04-19
,,653988,90.4,MHz,RTV SLOVENIJA,BOČ,"[{u'Program': u'RADIO MARIBOR', u'Timesharing': None}]",2016-01-18
,,654075,93.4,MHz,RTV SLOVENIJA,KRŠKO,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2016-02-13
,,654085,100.4,MHz,RTV SLOVENIJA,BLEJSKA DOBRAVA,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2016-02-14
,,654094,90.8,MHz,RTV SLOVENIJA,IDRIJA 1,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2016-03-26
,,654170,93.5,MHz,RTV SLOVENIJA,ANHOVO,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2016-10-10
,,654338,98.6,MHz,RTV SLOVENIJA,AJDOVŠČINA,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2016-09-01
,,655010,96.3,MHz,RTV SLOVENIJA,AJDOVŠČINA,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2015-11-07
,,655176,93.7,MHz,RADIO ŠTAJERSKI VAL d.o.o. Šmarje pri Jelšah,BOČ,"[{u'Program': u'RADIO \u0160TAJERSKI VAL', u'Timesharing': None}]",2016-07-27
,,655225,88,MHz,RTV SLOVENIJA,KRIM,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2016-10-15
,,655246,87.8,MHz,"ŠPRAH d.o.o., Škofja vas",SVETINA,"[{u'Program': u'Radio Antena Celje; Antena C', u'Timesharing': u'od 02:00 do 05:00'}, {u'Program': u'Radio Antena', u'Timesharing': u'od 00:00 do 02:00 in od 12:00 do 24:00'}]",2016-07-06
,,655247,87.8,MHz,"RADIO ANTENA d.o.o., Ljubljana",SVETINA,"[{u'Program': u'Radio Antena \u0160tajerska; Antena S', u'Timesharing': u'od 05:00 do 10:00'}, {u'Program': u'Radio Antena', u'Timesharing': u'od 10:00 do 12:00'}]",2016-07-06
,,655270,92.4,MHz,RTV SLOVENIJA,BLEJSKA DOBRAVA,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2016-09-04
,,655271,90,MHz,RTV SLOVENIJA,BLEJSKA DOBRAVA,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2016-09-05
,,655289,87.6,MHz,"BRUS MEDIJI, d.o.o.",LJUBLJANA 3,"[{u'Program': u'Europa 05', u'Timesharing': None}]",2016-07-17
,,655325,96.7,MHz,RTV SLOVENIJA,TRSTELJ,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2016-10-10
,,655386,96.9,MHz,RTV SLOVENIJA,ZAHOMCE,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2016-10-10
,,655387,97.6,MHz,RTV SLOVENIJA,VOGEL,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2016-10-10
,,655388,107.7,MHz,RTV SLOVENIJA,POSTOJNA,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2016-10-10
,,655407,105.9,MHz,RADIO OGNJIŠČE d.o.o. Koper,GORNJA RADGONA,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2016-10-16
,,655451,99.7,MHz,RTV SLOVENIJA,HOTEDRŠICA 1,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2016-07-04
,,655484,88.9,MHz,"NAŠ ČAS, d.o.o.",VELENJE 4,"[{u'Program': u'RADIO VELENJE', u'Timesharing': None}]",2014-03-16
,,655506,95.9,MHz,ZAVOD MARŠ,MARIBOR 6,"[{u'Program': u'Mariborski radio \u0160tudent - Mar\u0161', u'Timesharing': None}]",2014-01-12
,,655625,96.4,MHz,RTV SLOVENIJA,KUK,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2017-01-03
,,655849,107,MHz,R DOMŽALE d.o.o.,MARKOVEC,"[{u'Program': u'RADIO HIT', u'Timesharing': None}]",2015-06-27
,,655849,87.9,MHz,R DOMŽALE d.o.o.,HRVATINI 3,"[{u'Program': u'RADIO HIT', u'Timesharing': None}]",2015-06-27
,,655861,89.3,MHz,RTV SLOVENIJA,PODBRDO,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2017-04-05
,,655862,95.7,MHz,RTV SLOVENIJA,PODBRDO,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2017-04-05
,,655873,103.6,MHz,RTV SLOVENIJA,TINJAN,"[{u'Program': u'RADIO CAPODISTRIA', u'Timesharing': None}]",2017-04-05
,,656018,89.1,MHz,"NOVICE, d.o.o.,",SLOVENSKE KONJICE 2,"[{u'Program': u'Radio Rogla', u'Timesharing': None}]",2017-01-21
,,656018,89.4,MHz,"NOVICE, d.o.o.,",LJUBIČNA 2,"[{u'Program': u'Radio Rogla', u'Timesharing': None}]",2017-01-21
,,656044,102,MHz,RTV SLOVENIJA,BELI KRIŽ,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2017-05-11
,,656046,103.9,MHz,RTV SLOVENIJA,OŽBALT 2,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2017-05-11
,,656047,98.9,MHz,RTV SLOVENIJA,OŽBALT 2,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2017-05-11
,,656048,87.7,MHz,RTV SLOVENIJA,OŽBALT 2,"[{u'Program': u'RADIO MARIBOR', u'Timesharing': None}]",2017-05-11
,,656062,93.8,MHz,RTV SLOVENIJA,TRBONJE,"[{u'Program': u'RADIO MARIBOR', u'Timesharing': None}]",2017-05-11
,,656128,102.2,MHz,RTV SLOVENIJA,TRSTELJ,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2017-07-18
,,656137,104.1,MHz,RTV SLOVENIJA,KOPER,"[{u'Program': u'RADIO KOPER /RADIO KP/', u'Timesharing': None}]",2017-06-01
,,656236,105.2,MHz,LASERR d.o.o.,SLOVENJ GRADEC,"[{u'Program': u'Radio Laser Slovenj Gradec', u'Timesharing': None}]",2014-03-30
,,656306,90.9,MHz,RTV SLOVENIJA,ZAHOMCE,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2017-07-04
,,656307,94.9,MHz,RTV SLOVENIJA,KLANEC,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2017-07-04
,,656308,88.6,MHz,RTV SLOVENIJA,LUČE 1,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2017-07-04
,,656309,93.1,MHz,RTV SLOVENIJA,LUČE 1,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2017-07-04
,,656310,92.2,MHz,RTV SLOVENIJA,KOPER,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2017-07-04
,,656312,92.6,MHz,RTV SLOVENIJA,DOLENJA TREBUŠA,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2017-07-04
,,656323,90.8,MHz,RADIO BREZJE d.o.o.,MARIBOR BREZJE,"[{u'Program': u'RADIO BREZJE', u'Timesharing': None}]",2017-09-25
,,656354,102.3,MHz,RADIO OGNJIŠČE d.o.o. Koper,KRANJSKA GORA,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2017-07-12
,,656355,89.1,MHz,RADIO OGNJIŠČE d.o.o. Koper,POSTOJNA,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2017-07-12
,,656442,99.8,MHz,RTV SLOVENIJA,VREME 1,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2017-10-07
,,656475,94.3,MHz,RTV SLOVENIJA,TRSTELJ,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2017-07-18
,,656478,92.6,MHz,RTV SLOVENIJA,TRSTELJ,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2017-07-18
,,656615,96.3,MHz,RTV SLOVENIJA,KLANEC,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2017-07-04
,,656758,99.5,MHz,RADIO CITY d.o.o.,LJUBLJANA 3,"[{u'Program': u'RADIO CITY', u'Timesharing': None}]",2017-11-05
,,656783,106.8,MHz,UNIVOX d.o.o.,MALI LOČNIK,"[{u'Program': u'RADIO UNIVOX', u'Timesharing': None}]",2015-06-27
,,656831,100.2,MHz,"RGL, d.o.o, Ljubljana",KRIM,"[{u'Program': u'Radio Aktual', u'Timesharing': None}]",2013-04-14
,,656832,101.2,MHz,"RGL, d.o.o, Ljubljana",LJUBLJANA 3,"[{u'Program': u'Radio Aktual', u'Timesharing': None}]",2013-04-14
,,656836,96.7,MHz,RADIO SEVNICA d.o.o.,LISCA,"[{u'Program': u'Radio Veseljak Lisca', u'Timesharing': None}]",2013-05-12
,,656930,107.8,MHz,RADIO ALFA d.o.o.,PLEŠIVEC,"[{u'Program': u'RADIO ALFA', u'Timesharing': u'od 10:00 do 14:00 in od 19:00 do 24:00'}]",2018-01-17
,,656974,98.1,MHz,"Radio Kum Trbovlje, d.o.o.",KUM,"[{u'Program': u'RADIO KUM', u'Timesharing': None}]",2018-02-16
,,657050,102.6,MHz,"MOJ RADIO, BORIS SUŠIN S.P.",CELJE GOLOVEC,"[{u'Program': u'MojRadio', u'Timesharing': None}]",2018-01-15
,,657142,88.5,MHz,RTV SLOVENIJA,DOLENJA TREBUŠA,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2018-02-06
,,657214,100.3,MHz,NT&RC d.o.o. Celje,CELJE GOLOVEC,"[{u'Program': u'RADIO CELJE', u'Timesharing': None}]",2014-03-11
,,657239,91.1,MHz,RTV SLOVENIJA,CELJE GOLOVEC,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2016-05-05
,,657289,92.1,MHz,RADIO GORENC d.o.o.,MEŽAKLA,"[{u'Program': u'RADIO GORENC', u'Timesharing': None}]",2017-11-13
,,657292,101.3,MHz,B.&B.BELNA d.o.o.,MELJSKI HRIB,"[{u'Program': u'Radio Pohorje', u'Timesharing': None}]",2018-03-03
,,657466,99.5,MHz,UNIVOX d.o.o.,LOŠKI POTOK,"[{u'Program': u'RADIO UNIVOX', u'Timesharing': None}]",2018-04-08
,,657677,90,MHz,RTV SLOVENIJA,KOPER,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2020-03-01
,,657826,93.9,MHz,RTV SLOVENIJA,IDRIJA 1,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2016-03-26
,,657829,94.7,MHz,RTV SLOVENIJA,IDRIJA 2,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2016-03-26
,,657833,89.3,MHz,RTV SLOVENIJA,ČEPOVAN LOKVE,"[{u'Program': u'RADIO SLOVENIJA, prvi program - PROGRAM A1 /A1/', u'Timesharing': None}]",2018-06-03
,,657868,95.7,MHz,RTV SLOVENIJA,ČEPOVAN LOKVE,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2018-06-03
,,658104,96.1,MHz,RTV SLOVENIJA,BELI KRIŽ,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2018-07-30
,,658105,104,MHz,RTV SLOVENIJA,PEČ,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2018-07-30
,,658106,106,MHz,RTV SLOVENIJA,PEČ,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2018-07-30
,,658107,107.2,MHz,RTV SLOVENIJA,TRBONJE,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2017-05-15
,,658149,103.2,MHz,RADIO ALFA d.o.o.,SLOVENJ GRADEC,"[{u'Program': u'RADIO ALFA', u'Timesharing': None}]",2018-09-26
,,658155,88.1,MHz,RTV SLOVENIJA,KLANEC,"[{u'Program': u'RADIO KOPER /RADIO KP/', u'Timesharing': None}]",2018-07-31
,,658217,99.7,MHz,RADIO OGNJIŠČE d.o.o. Koper,BELI KRIŽ,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2015-06-27
,,658231,92.7,MHz,RTV SLOVENIJA,LENDAVA,"[{u'Program': u'Pomurski mad\u017earski radio - Muravid\xe9ki magyar r\xe1di\xf3', u'Timesharing': None}]",2017-12-03
,,658258,107.7,MHz,RTV SLOVENIJA,MEDVEDJEK,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2018-08-29
,,658259,97.1,MHz,RTV SLOVENIJA,ZAJČICA,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2018-08-29
,,658262,98.1,MHz,RTV SLOVENIJA,ČEPOVAN LOKVE,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2018-08-29
,,658263,101.4,MHz,RTV SLOVENIJA,TRŽIČ 1,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2018-08-29
,,658342,97.3,MHz,RTV SLOVENIJA,OBREŽJE,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2018-10-01
,,658464,104.5,MHz,R DOMŽALE d.o.o.,TRSTELJ,"[{u'Program': u'RADIO HIT', u'Timesharing': None}]",2015-06-27
,,658518,107.9,MHz,RADIO CAPRIS d.o.o.,ŠENTJANE,"[{u'Program': u'RADIO CAPRIS', u'Timesharing': None}]",2017-09-25
,,658518,106.2,MHz,RADIO CAPRIS d.o.o.,PORTOROŽ 1,"[{u'Program': u'RADIO CAPRIS', u'Timesharing': None}]",2017-09-25
,,658579,104.1,MHz,RTV SLOVENIJA,ČEPOVAN LOKVE,"[{u'Program': u'RADIO KOPER /RADIO KP/', u'Timesharing': None}]",2018-10-29
,,658868,103.9,MHz,RTV SLOVENIJA,KUM,"[{u'Program': u'RADIO SLOVENIJA, tretji program - PROGRAM ARS /ARS/', u'Timesharing': None}]",2019-02-24
,,658990,91.2,MHz,RADIO OGNJIŠČE d.o.o. Koper,TINJAN,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2019-03-26
,,658990,88.9,MHz,RADIO OGNJIŠČE d.o.o. Koper,KOPER,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2019-03-26
,,659039,95.9,MHz,RADIO BREŽICE d.o.o.,KRŠKO,"[{u'Program': u'Radio Veseljak Posavje', u'Timesharing': None}]",2013-07-09
,,659040,88.7,MHz,RADIO BREŽICE d.o.o.,OBREŽJE,"[{u'Program': u'Radio Veseljak Posavje', u'Timesharing': None}]",2014-02-22
,,659105,91.5,MHz,RTV SLOVENIJA,ROB,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2019-02-20
,,659118,104.8,MHz,"RGL, d.o.o, Ljubljana",BOČ,"[{u'Program': u'Radio Aktual', u'Timesharing': None}]",2019-05-18
,,659279,95.1,MHz,RADIO GORENC d.o.o.,TRŽIČ 4,"[{u'Program': u'RADIO GORENC', u'Timesharing': None}]",2019-06-12
,,659280,97,MHz,"ALPE ADRIA ""ZELENI VAL"" d.o.o.",KUREŠČEK,"[{u'Program': u'RADIO ZELENI VAL', u'Timesharing': None}]",2019-06-12
,,659368,91.2,MHz,RADIO OGNJIŠČE d.o.o. Koper,TOLMIN,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2019-06-12
,,659379,105.9,MHz,RADIO OGNJIŠČE d.o.o. Koper,KUM,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2019-07-02
,,659379,105.9,MHz,RADIO OGNJIŠČE d.o.o. Koper,MOZIRJE,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2019-07-02
,,659379,107.3,MHz,RADIO OGNJIŠČE d.o.o. Koper,LIBNA,"[{u'Program': u'RADIO OGNJI\u0160\u010cE', u'Timesharing': None}]",2019-07-02
,,659561,106.6,MHz,"RADIO KRKA Novo mesto, d.o.o.",TRDINOV VRH,"[{u'Program': u'RADIO KRKA', u'Timesharing': None}]",2019-07-02
,,659583,105.1,MHz,RADIO KOBARID d.o.o.,KOBARIŠKI STOL,"[{u'Program': u'Alpski val', u'Timesharing': u'od 16:00 do 20:00'}, {u'Program': u'Primorski val', u'Timesharing': u'od 00:00 do 16:00 in od 20:00 do 24:00'}]",2016-11-02
,,659584,96.9,MHz,RADIO KOBARID d.o.o.,KAMBREŠKO,"[{u'Program': u'Alpski val', u'Timesharing': u'od 16:00 do 20:00'}, {u'Program': u'Primorski val', u'Timesharing': u'od 00:00 do 16:00 in od 20:00 do 24:00'}]",2017-11-14
,,747559,95.5,MHz,"RGL, d.o.o, Ljubljana",CELJE,"[{u'Program': u'RADIO VESELJAK SI', u'Timesharing': None}]",2017-06-28
,,747616,89.5,MHz,RTV SLOVENIJA,PODGRAD,"[{u'Program': u'RADIO KOPER /RADIO KP/', u'Timesharing': None}]",2019-07-06
,,747617,99.8,MHz,RTV SLOVENIJA,PODGRAD,"[{u'Program': u'RADIO SLOVENIJA, drugi program - PROGRAM VAL 202 /VAL 202/', u'Timesharing': None}]",2019-07-06
,,890913,104.1,MHz,RTV SLOVENIJA,PAKA,"[{u'Program': u'RADIO SLOVENIA INTERNATIONAL /Radio Si/', u'Timesharing': None}]",2019-08-12
,,890914,95.5,MHz,"RGL, d.o.o, Ljubljana",TRŠKA GORA 1,"[{u'Program': u'RADIO VESELJAK SI', u'Timesharing': None}]",2019-10-16
,,890921,89.7,MHz,"MAHKOVEC Š & D, d.n.o., Litija",LITIJA 2,"[{u'Program': u'Radio Geoss', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2016-07-06
,,890928,105,MHz,RADIO PRO 1 d.o.o.,KRŠKO,"[{u'Program': u'Radio 1 Dolenjska; ENA NM', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2015-07-11
,,890930,88.9,MHz,RADIO PRO 1 d.o.o.,TREBNJE 3,"[{u'Program': u'Radio 1 Dolenjska; ENA NM', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2016-09-24
,,890937,89.8,MHz,RADIO URBAN d.o.o.,ORTNEK,"[{u'Program': u'RADIO URBAN', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'Radio 1', u'Timesharing': u'od 02:00 do 05:00'}]",2013-12-17
,,890944,100.6,MHz,RADIO CITY d.o.o.,MARIBOR 5,"[{u'Program': u'RADIO CITY', u'Timesharing': None}]",2019-10-19
,,890944,98,MHz,RADIO CITY d.o.o.,MARIBOR PIVOLA,"[{u'Program': u'RADIO CITY', u'Timesharing': None}]",2019-10-19
,,890953,107,MHz,"MOJ RADIO, BORIS SUŠIN S.P.",TOPOLŠICA,"[{u'Program': u'MojRadio', u'Timesharing': None}]",2019-11-16
,,891002,103.7,MHz,RADIO CENTER d.o.o.,POHORJE,"[{u'Program': u'RADIO CENTER SLOVENIJA', u'Timesharing': u'od 00:00 do 02:00 in od 05:00 do 24:00'}, {u'Program': u'RADIO CENTER', u'Timesharing': u'od 02:00 do 05:00'}]",2019-11-19
,,891021,100.2,MHz,RADIO NET d.o.o.,MARIBOR 3,"[{u'Program': u'Radio NET FM', u'Timesharing': None}]",2019-11-17
